,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,92.6855,92.6855,92.71600000000001,0.030500000000003524,False,0.15024999999998556,0.18074999999998909,1,0.4772210596054786,92.7,0.014499999999998181,0.016000000000005343,32.78688524589785,0.010798239249168442
MeanVar1,92.86625,92.86625,92.89525,0.029000000000010573,False,0.1527499999999833,0.18174999999999386,1,0.46588091276721844,92.8805,0.014250000000004093,0.01475000000000648,34.48275862067708,0.010014800009395728
MeanVar1,93.04799999999999,93.04799999999999,93.07625,0.028250000000014097,False,0.1529999999999916,0.18125000000000568,1,0.4704558468496409,93.06225,0.014250000000018304,0.013999999999995794,35.39823008847791,0.009918143841014998
MeanVar1,93.22925,93.22925,93.258,0.028750000000002274,False,0.15075000000000216,0.17950000000000443,1,0.4696584035773828,93.24325,0.014000000000010004,0.01474999999999227,34.78260869564942,0.010057167816356433
MeanVar1,93.40875,93.40875,93.43875,0.030000000000001137,False,0.149249999999995,0.17924999999999613,1,0.4799078110533863,93.42375,0.015000000000000568,0.015000000000000568,33.33333333333207,0.010642180102394169
MeanVar1,93.588,93.588,93.61875,0.030750000000011823,False,0.1490000000000009,0.17975000000001273,1,0.4841103738009264,93.6035,0.015500000000002956,0.015250000000008868,32.52032520323953,0.011072229065206737
MeanVar1,93.76775,93.76775,93.79799999999999,0.030249999999981014,False,0.15100000000001046,0.18124999999999147,1,0.4743336202908699,93.782,0.014249999999989882,0.015999999999991132,33.05785123969017,0.010595107816422403
MeanVar1,93.949,93.949,93.9775,0.028500000000008185,False,0.1529999999999916,0.18149999999999977,1,0.46146974073469854,93.96300000000001,0.014000000000010004,0.014499999999998181,35.087719298235534,0.009777334111798418
MeanVar1,94.1305,94.1305,94.15899999999999,0.028499999999993975,False,0.15200000000001523,0.1805000000000092,1,0.47499872703835616,94.14475,0.014250000000004093,0.014249999999989882,35.087719298253035,0.010072834223807553
MeanVar1,94.311,94.311,94.34025,0.02924999999999045,False,0.14974999999999739,0.17899999999998784,1,0.4750211567955406,94.32525,0.014249999999989882,0.015000000000000568,34.18803418804535,0.010319412610318027
MeanVar1,94.49,94.49,94.5205,0.030500000000003524,False,0.149249999999995,0.17974999999999852,1,0.4845367067791075,94.50575,0.015750000000011255,0.01474999999999227,32.78688524589785,0.010942888222035109
MeanVar1,94.66975,94.66975,94.70075,0.03100000000000591,False,0.149249999999995,0.1802500000000009,1,0.482720543711507,94.68475000000001,0.01500000000001478,0.015999999999991132,32.25806451612288,0.0110702143397376
