,Time,Peaks Amplitude,Intervals
MeanVar1,519.5835,0.5591962413784558,0.19675000000006548
MeanVar1,519.78025,0.5516010327846261,0.19524999999998727
MeanVar1,519.9755,0.5669598505121302,0.1934999999999718
MeanVar1,520.169,0.5543085253671818,0.19675000000006548
MeanVar1,520.36575,0.5395432935988405,0.19624999999996362
MeanVar1,520.562,0.5550508632541828,0.1955000000000382
MeanVar1,520.7575,0.5961154142962688,0.19374999999990905
MeanVar1,520.95125,0.5500469034977788,0.19700000000000273
MeanVar1,521.14825,0.5365929832374436,0.1955000000000382
MeanVar1,521.34375,0.5651263103458859,0.19375000000002274
MeanVar1,521.5375,0.5604414059024305,0.19524999999998727
MeanVar1,521.73275,0.5368365624570264,0.19725000000005366
MeanVar1,521.9300000000001,0.5740933775843104,0.19424999999989723
MeanVar1,522.12425,0.5658757296070918,0.19325000000003456
MeanVar1,522.3175,0.5507723820400074,0.19725000000005366
MeanVar1,522.51475,0.5444428512781467,0.1954999999999245
MeanVar1,522.71025,0.5717080293770449,0.1935000000000855
MeanVar1,522.9037500000001,0.574158697862927,0.1954999999999245
MeanVar1,523.09925,0.5705158217913648,0.1962500000000773
MeanVar1,523.2955000000001,0.5430690663571407,0.19499999999993634
MeanVar1,523.4905,0.5730112887098543,0.19299999999998363
MeanVar1,523.6835,0.5512248920534825,0.19700000000000273
MeanVar1,523.8805,0.5424332332750408,0.19524999999998727
MeanVar1,524.07575,0.594801630928915,0.1935000000000855
MeanVar1,524.26925,0.5744399213064358,0.1954999999999245
MeanVar1,524.46475,0.5352562024504768,0.19650000000001455
MeanVar1,524.66125,0.558015159876244,0.19450000000006185
MeanVar1,524.8557500000001,0.5659199827020313,0.1934999999999718
MeanVar1,525.04925,0.5471130216790363,0.19650000000001455
MeanVar1,525.24575,0.564572349242685,0.19499999999993634
MeanVar1,525.44075,0.5859963313734236,0.19275000000004638
MeanVar1,525.6335,0.5486780125031488,0.1967499999999518
MeanVar1,525.83025,0.5445176690053812,0.19500000000005002
MeanVar1,526.02525,0.5769613565357901,0.19299999999998363
MeanVar1,526.21825,0.5616744411771354,0.19600000000002638
MeanVar1,526.41425,0.5640715164350717,0.19574999999997544
MeanVar1,526.61,0.5720076139297945,0.1934999999999718
MeanVar1,526.8035,0.5614860325267252,0.1947499999999991
MeanVar1,526.99825,0.5461251148416675,0.19600000000002638
MeanVar1,527.19425,0.557963639694088,0.19449999999994816
MeanVar1,527.38875,0.5719150264347537,0.19325000000003456
MeanVar1,527.582,0.5707967853900993,0.19624999999996362
MeanVar1,527.77825,0.5550844189362363,0.1947499999999991
MeanVar1,527.973,0.5694038612068013,0.19325000000003456
MeanVar1,528.16625,0.5569662467239287,0.19624999999996362
MeanVar1,528.3625,0.5505068597698723,0.19475000000011278
MeanVar1,528.5572500000001,0.5761886521132877,0.19249999999999545
MeanVar1,528.7497500000001,0.5811123519556387,0.19624999999996362
MeanVar1,528.946,0.5543574801999428,0.1947499999999991
MeanVar1,529.14075,0.5688452258030658,0.1927499999999327
MeanVar1,529.3335,0.557988291737311,0.19600000000002638
MeanVar1,529.5295,0.5435482685292164,0.19500000000005002
MeanVar1,529.7245,0.5730281570092203,0.1927499999999327
MeanVar1,529.91725,0.5793510551126055,0.19575000000008913
MeanVar1,530.113,0.5490748624945503,0.19524999999998727
MeanVar1,530.30825,0.5639328514734003,0.1927499999999327
MeanVar1,530.501,0.5606563475494204,0.19524999999998727
